"send_other_username","(发送给对方的会员用户名)"
"product_sort_name","产品分类名称："
"series_sort_product","按系列分类的产品"
"adjustment_sequence","产品系列（或产品系列中各产品）调整后的顺序，将立即体现在您的企业网站上。"
"statistics","信息统计"
"information_n","信息："
"information_g","信息！"
"number","条"
"make_homepage","设为首页"
"add_favorite","加入收藏"
"business_forum","商业论坛"
"business_email","商务邮箱"
"business_email_n","商务邮箱："
"web_assistant","网站助手"
"business_information","商业信息"
"our_invitation_code","我的邀请码"
"change_password","修改密码"
"profile","个人资料"
"office_homepage","商务室首页"
"system_settings","系统设置"
"diy_website","自助建站"
"site_advertising","站内广告"
"self_service","自助服务"
"company_news","公司动态"
"link_exchange","交换链接"
"exchange_information","业务往来"
"card_information","名片资料"
"basic_information","基本资料"
"company_information","公司资料"
"categories_management","产品分类管理"
"our_productse","我的产品信息"
"release_products","发布产品信息"
"information_management","产品信息"
"customer_inquiry","客户询价"
"buy_statistics","供求信息统计"
"release_supply","发布供求信息"
"our_offer","我的供求信息"
"our_favorites","我的信息收藏"
"according","按"
"on_shelves","已上架"
"down_shelves","已下架"
"ordinary_goods","普通商品"
"view_big_picture","点击查看大图"
"web_down_shelves","从网上下架"
"goods_on_shelves","把商品上架"
"as_release_supply","作为供应发布"
"choose_submit","选择好了，确认提交！"
"change_style_tips","<td class='bottom'><strong>如何更换风格？</strong>
			<p>　1、查看各个风格的效果图 <br>
			  　2、选择你所喜爱的建站风格<br>
			　3、一个工作日之内生效</p></td>"
"no_provide_template","当前没有提供模板选择"
"name","名称"
"name_n","名称："
"change_style","风格可以随心换！"
"english_number_portfolio","名称只能为英文和数字的组合"
"submit_changes","提交更改"
"update","更新"
"repeating","重发"
"preview","预览"
"release","发布"
"success_release","您已经成功发布"
"have_released_success","您已经成功发布%s条%s"
"tips_no_repeat","提示：</span>相同内容的信息请不要反复发布，建议使用重发功能!"
"picture","(图)"
"extension_time","延长到期时间"
"update_site","更新到网站"
"repeating_information","重发信息"
"ok_repeating_information","("真的要重发这些信息吗？")"
"direction","方向："
"emergency","紧急!"
"tags_n","标签："
"duration","有效期："
"industry","行业："
"area","地区："
"product_description","产品描述："
"product_type","产品类型："
"brand_type","品牌类型："
"product_name","产品名称："
"respective_series","所属系列："
"select_category","请选择类别"
"new","新建..."
"space_separate","(多个请用&quot,&quot号或者空格隔开)"
"product_image","产品图片："
"brand_image","品牌图片："
"words_length","（2-30个中文字）"
"attention_explain","注：（10-500个中文字）详细说明中请勿包含公司名称、地址、联系方式等"
"category_management_explain","（<span class="zi">可按照您创建的产品系列进行分类，方便您管理</span>）"
"vorname","姓名："
"provinces_city","省/市："
"postcode","邮政编码："
"number_n","号码："
"sex_n","性别："
"personal_homepage","个人主页："
"job_status","求职状态："
"like_job","我想求职"
"not_like_job","我不想求职"
"highest_education","最高学历："
"personal_picture","个人头像："
"login_jump","登录后跳转页面："
"enter_name","请输入您的姓名"
"enter_website_error","您输入的网址有误"
"optimal_number","(25字以内最佳)"
"image","图片："
"now_image","当前图片："
"preview_image","预览图片"
"check_information","请务必检查联系资料!（若有误，客户无法找到您，信息也不能被审核通过！）"
"need_click","需要的话，您可点此"
"modify_information","修改联系资料"
"first_contact_phone","首选联系电话："
"first_instant_message","首选即时通讯："
"finish_release","一切完成，请发布！"
"enter_title","请输入信息标题"
"tips_buy_no_repeat","（提示：已经发布成供应信息的产品，请不要重复发布。如果您想提高发布效果，请进入"
"repeat_function","使用重发功能，使信息排名靠前）"
"i_sure","我确定"
"price_allow","发布产品报价"
"my_honour","尊敬的：%s%s您好，您最近一次访问是 %s"
"the_last_visit_time_was","您好，您最近一次访问是"
"welcome_to_office","欢迎您进入商务室"
"info_manage","信息管理"
"product_brand","所属品牌："
"add_your_brands","你可以在这里添加你的产品品牌"
"now_you_are","您现在是"
"upgrade_now","立即升级?"
"charge_now","立即充值?"
"been_expired","已到期?"
"year_service","本年度商业通服务期限:"
"my_product_price","我的产品报价"
"brand_manage","产品品牌管理"
"you_should_pay_for_this","该操作将花费相应积分，是否继续？"
"no_prices_and_add_it","你还没有发布任何报价信息，是否现在发布？"
"pls_input_price_title","请输入报价标题"
"your_account","账户："
"balance_amount","余额："
"your_points","积分："
"manage_favorite","管理收藏的供求信息"
"common_message","普通短信"
"messages","留言："
"system_message","系统留言"
"query_message","询价信息"
"price_title","报价标题："
"price_trends","价格趋势："
"price_types","报价类型："
"price_description","报价描述："
"price_description_strip","报价描述"
"price_sorts","报价种类："
"price_area","报价地区："
"sample_image","图例"
"order_manage","订单管理"
"pagination","显示 <b>%d-%d</b> 共 <b>%d</b> 条记录"
